left,pron,right,candidates,selected,input_prompt,predicted,correct_sent,correct,number of shots
The city councilmen refused the demonstrators a permit because,they,feared violence.,"The city councilmen,The demonstrators",0,"How does the sentence end?

The man stole the neighbor's bike because

OPTIONS: 
- The man
- the neighbor
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the neighbor had one extra.

How does the sentence end?

Excalibur spent time with the stone because

OPTIONS: 
- Excalibur
- the stone
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the stone was very smooth and sturdy.

How does the sentence end?

The man gave the beggar some money because

OPTIONS: 
- The man
- the beggar
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the beggar was too persistent.

How does the sentence end ?

The city councilmen refused the demonstrators a permit because

OPTIONS: 
- The city councilmen feared violence.
- The demonstrators feared violence.
Thought: Use similar thought as before.
Output: ",the demonstrators feared violence,the city councilmen feared violence,False,3
The city councilmen refused the demonstrators a permit because,they,advocated violence.,"The city councilmen,The demonstrators",1,"How does the sentence end?

The cap fell off the bottle because

OPTIONS: 
- The cap
- the bottle
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: The cap was untwisted.

How does the sentence end?

Planet Express was bought out by Mom's Friendly Delivery Service so

OPTIONS: 
- Planet Express
- Moms Friendly Delivery Service
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Planet Express can no longer be a threat.

How does the sentence end?

The mysterious creature is drinking whiskey because

OPTIONS: 
- The mysterious creature
- whiskey
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: whiskey tastes good.

How does the sentence end ?

The city councilmen refused the demonstrators a permit because

OPTIONS: 
- The city councilmen advocated violence.
- The demonstrators advocated violence.
Thought: Use similar thought as before.
Output: ",the demonstrators advocated violence,the demonstrators advocated violence,True,3
The trophy doesn't fit into the brown suitcase because,it,is too large.,"the trophy,the suitcase",0,"How does the sentence end?

Olivia tried to counsel Emily, but

OPTIONS: 
- Olivia
- Emily
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Olivia was rejected.

How does the sentence end?

James went to Sully's arcade but

OPTIONS: 
- James
- Sully
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Sully refused to let him in.

How does the sentence end?

Mike helped Jack with his assignment because

OPTIONS: 
- Mike
- Jack
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Mike felt like doing so.

How does the sentence end ?

The trophy doesn't fit into the brown suitcase because

OPTIONS: 
- the trophy is too large.
- the suitcase is too large.
Thought: Use similar thought as before.
Output: ",the trophy is too large,the trophy is too large,True,3
The trophy doesn't fit into the brown suitcase because,it,is too small.,"the trophy,the suitcase",1,"How does the sentence end?

Clinton wanted Obama to run for president because

OPTIONS: 
- Clinton
- Obama
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Obama would win.

How does the sentence end?

T-Mobile's data plan is better than AT&T's data plan since

OPTIONS: 
- TMobile
- ATT
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: ATT throttles user for excessive data usage.

How does the sentence end?

The Cowboys formed a trailer defense against the Indians since

OPTIONS: 
- The Cowboys
- the Indians
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: The Cowboys have a better chance of surviving.

How does the sentence end ?

The trophy doesn't fit into the brown suitcase because

OPTIONS: 
- the trophy is too small.
- the suitcase is too small.
Thought: Use similar thought as before.
Output: ",the trophy is too small,the suitcase is too small,False,3
Joan made sure to thank Susan for all the help,she,had recieved.,"Joan,Susan",0,"How does the sentence end?

The students fell asleep during the professor's lectures because

OPTIONS: 
- The students
- the professors lectures
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the professors lectures were boring.

How does the sentence end?

David hit Bill and

OPTIONS: 
- David
- Bill
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Bill cried.

How does the sentence end?

The Secretary and the President met about

OPTIONS: 
- The Secretary
- the President
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the President being elected.

How does the sentence end ?

Joan made sure to thank Susan for all the help

OPTIONS: 
- Joan had recieved.
- Susan had recieved.
Thought: Use similar thought as before.
Output: ",joan had recieved,joan had recieved,True,3
Joan made sure to thank Susan for all the help,she,had given.,"Joan,Susan",1,"How does the sentence end?

Mary cleaned Susan's room and

OPTIONS: 
- Mary
- Susan
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Mary asked a favor.

How does the sentence end?

The computer rejected the password because

OPTIONS: 
- The computer
- the password
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the password was incorrect.

How does the sentence end?

Rocky beat Drago because the crowd was not supporting

OPTIONS: 
- Rocky
- Drago
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Drago .

How does the sentence end ?

Joan made sure to thank Susan for all the help

OPTIONS: 
- Joan had given.
- Susan had given.
Thought: Use similar thought as before.
Output: ",joan had given,susan had given,False,3
"Paul tried to call George on the phone, but",he,wasn't successful.,"Paul,George",0,"How does the sentence end?

Jimbo was running from Bobbert because

OPTIONS: 
- Jimbo
- Bobbert
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Jimbo wanted to get to the car first.

How does the sentence end?

The ball hit the window and Bill caught

OPTIONS: 
- The ball
- the window
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: The ball .

How does the sentence end?

Jimbo eats more than Bobbert because

OPTIONS: 
- Jimbo
- Bobbert
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Jimbo is not on a diet.

How does the sentence end ?

Paul tried to call George on the phone, but

OPTIONS: 
- Paul wasn't successful.
- George wasn't successful.
Thought: Use similar thought as before.
Output: ",paul wasnt successful,paul wasnt successful,True,3
"Paul tried to call George on the phone, but",he,wasn't available.,"Paul,George",1,"How does the sentence end?

Derrick begged his boss for a raise but

OPTIONS: 
- Derrick
- his boss
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Derrick did not get one.

How does the sentence end?

The construction workers hollered at the girls when

OPTIONS: 
- The construction workers
- the girls
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: The construction workers saw them.

How does the sentence end?

The man gave the beggar some money because

OPTIONS: 
- The man
- the beggar
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the beggar was too persistent.

How does the sentence end ?

Paul tried to call George on the phone, but

OPTIONS: 
- Paul wasn't available.
- George wasn't available.
Thought: Use similar thought as before.
Output: ",paul wasnt available,george wasnt available,False,3
"The lawyer asked the witness a question, but",he,was reluctant to repeat it.,"the lawyer,the witness",0,"How does the sentence end?

Students hate exams because

OPTIONS: 
- Students
- exams
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Students are lazy.

How does the sentence end?

James always gives orders to Owen because

OPTIONS: 
- James
- Owen
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Owen is very obedient.

How does the sentence end?

Cheesecake is better than fruitcake because

OPTIONS: 
- Cheesecake
- fruitcake
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: fruitcake is gross.

How does the sentence end ?

The lawyer asked the witness a question, but

OPTIONS: 
- the lawyer was reluctant to repeat it.
- the witness was reluctant to repeat it.
Thought: Use similar thought as before.
Output: ",the lawyer was reluctant to repeat it,the lawyer was reluctant to repeat it,True,3
"The lawyer asked the witness a question, but",he,was reluctant to answer it.,"the lawyer,the witness",1,"How does the sentence end?

Bill was robbed by John, so the officer helped

OPTIONS: 
- Bill
- John
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Bill .

How does the sentence end?

Mr. Sanders gave James a promotion because

OPTIONS: 
- Mr Sanders
- James
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: James has done good work.

How does the sentence end?

The coach told the captain that

OPTIONS: 
- The coach
- the captain
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: The coach was proud of him.

How does the sentence end ?

The lawyer asked the witness a question, but

OPTIONS: 
- the lawyer was reluctant to answer it.
- the witness was reluctant to answer it.
Thought: Use similar thought as before.
Output: ",the lawyer was reluctant to answer it,the witness was reluctant to answer it,False,3
The delivery truck zoomed by the school bus because,it,was going so fast.,"the delivery truck,the school bus",0,"How does the sentence end?

The bespeckled old man slowly waved at the passing trolley passenger because

OPTIONS: 
- The bespeckled old man
- the passing trolley passenger
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: The bespeckled old man waves at everybody.

How does the sentence end?

David hit Bill and

OPTIONS: 
- David
- Bill
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Bill cried.

How does the sentence end?

The police captured the criminals because

OPTIONS: 
- The police
- the criminals
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the criminals were less prepared.

How does the sentence end ?

The delivery truck zoomed by the school bus because

OPTIONS: 
- the delivery truck was going so fast.
- the school bus was going so fast.
Thought: Use similar thought as before.
Output: ",the school bus was going so fast,the delivery truck was going so fast,False,3
The delivery truck zoomed by the school bus because,it,was going so slow.,"the delivery truck,the school bus",1,"How does the sentence end?

Steve scratched Johnny so

OPTIONS: 
- Steve
- Johnny
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Johnny became angry.

How does the sentence end?

The band connected well to their fans, so

OPTIONS: 
- The band
- their fans
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: their fans continued to buy albums.

How does the sentence end?

My parents gave the neighbors tickets to Six Flags since

OPTIONS: 
- My parents
- the neighbors
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: My parents had extras.

How does the sentence end ?

The delivery truck zoomed by the school bus because

OPTIONS: 
- the delivery truck was going so slow.
- the school bus was going so slow.
Thought: Use similar thought as before.
Output: ",the school bus was going so slow,the school bus was going so slow,True,3
Frank felt vindicated when his longtime rival Bill revealed that,he,was the winner of the competition.,"Frank,Bill",0,"How does the sentence end?

Mr. Sanders gave James a promotion because

OPTIONS: 
- Mr Sanders
- James
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: James has done good work.

How does the sentence end?

The man gave the beggar some money because

OPTIONS: 
- The man
- the beggar
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the beggar was too persistent.

How does the sentence end?

John wanted to vote for Doe, but

OPTIONS: 
- John
- Doe
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Doe did not seem like the right candidate.

How does the sentence end ?

Frank felt vindicated when his longtime rival Bill revealed that

OPTIONS: 
- Frank was the winner of the competition.
- Bill was the winner of the competition.
Thought: Use similar thought as before.
Output: ",frank was the winner of the competition,frank was the winner of the competition,True,3
