sentence	pronoun	candidates	label	correct	right	left	split
The bee landed on the flower because it had pollen.	it	['The bee' 'the flower']	1	the flower had pollen.	had pollen.	The bee landed on the flower because	train
The bee landed on the flower because it wanted pollen.	it	['The bee' 'the flower']	0	The bee wanted pollen.	wanted pollen.	The bee landed on the flower because	train
When Debbie splashed Tina, she got in trouble.	she	['Debbie' 'Tina']	0	Debbie got in trouble.	got in trouble.	When Debbie splashed Tina,	train
When Debbie splashed Tina, she got wet.	she	['Debbie' 'Tina']	1	Tina got wet.	got wet.	When Debbie splashed Tina,	train
The bus driver yelled at a kid after she drove her vehicle.	she	['The bus driver' 'a kid']	0	The bus driver drove her vehicle.	drove her vehicle.	The bus driver yelled at a kid after	train
The bus driver yelled at a kid after she broke a window.	she	['The bus driver' 'a kid']	1	a kid broke a window.	broke a window.	The bus driver yelled at a kid after	train
Jimbo was running from Bobbert because he smelled awful.	he	['Jimbo' 'Bobbert']	1	Bobbert smelled awful.	smelled awful.	Jimbo was running from Bobbert because	train
Jimbo was running from Bobbert because he wanted to get to the car first.	he	['Jimbo' 'Bobbert']	0	Jimbo wanted to get to the car first.	wanted to get to the car first.	Jimbo was running from Bobbert because	train
Jimbo attacked Bobbert because he stole an elephant from the zoo.	he	['Jimbo' 'Bobbert']	1	Bobbert stole an elephant from the zoo.	stole an elephant from the zoo.	Jimbo attacked Bobbert because	train
Jimbo attacked Bobbert because he could not control his rage.	he	['Jimbo' 'Bobbert']	0	Jimbo could not control his rage.	could not control his rage.	Jimbo attacked Bobbert because	train
Jimbo was afraid of Bobbert because she gets scared around new people.	she	['Jimbo' 'Bobbert']	0	Jimbo gets scared around new people.	gets scared around new people.	Jimbo was afraid of Bobbert because	train
Jimbo was afraid of Bobbert because she was running around with a bloody spear.	she	['Jimbo' 'Bobbert']	1	Bobbert was running around with a bloody spear.	was running around with a bloody spear.	Jimbo was afraid of Bobbert because	train
The man stole the neighbor's bike because he needed one.	he	['The man' 'the neighbor']	0	The man needed one.	needed one.	The man stole the neighbor's bike because	train
The man stole the neighbor's bike because he had one extra.	he	['The man' 'the neighbor']	1	the neighbor had one extra.	had one extra.	The man stole the neighbor's bike because	train
The bird ate the pie and it died.	it	['The bird' 'the pie']	0	The bird died.	died.	The bird ate the pie and	train
The bird ate the pie and it was ruined.	it	['The bird' 'the pie']	1	the pie was ruined.	was ruined.	The bird ate the pie and	train
The bird perched on the limb and it bent.	it	['The bird' 'the limb']	1	the limb bent.	bent.	The bird perched on the limb and	train
The bird perched on the limb and it sang.	it	['The bird' 'the limb']	0	The bird sang.	sang.	The bird perched on the limb and	train
Mary cleaned Susan's room and she was thankful.	she	['Mary' 'Susan']	1	Susan was thankful.	was thankful.	Mary cleaned Susan's room and	train
Mary cleaned Susan's room and she asked a favor.	she	['Mary' 'Susan']	0	Mary asked a favor.	asked a favor.	Mary cleaned Susan's room and	train
Mary stabbed Jennifer, so John took her to the hospital.	her	['Mary' 'Jennifer']	1	Jennifer to the hospital.	to the hospital.	Mary stabbed Jennifer, so John took	train
Mary stabbed Jennifer, so John reported her to the police.	her	['Mary' 'Jennifer']	0	Mary to the police.	to the police.	Mary stabbed Jennifer, so John reported	train
Lions eat zebras because they are predators.	they	['Lions' 'zebras']	0	Lions are predators.	are predators.	Lions eat zebras because	train
Lions eat zebras because they are meaty.	they	['Lions' 'zebras']	1	zebras are meaty.	are meaty.	Lions eat zebras because	train
The coach criticized the player because he did not adhere to the team's formation.	he	['The coach' 'the player']	1	the player did not adhere to the team's formation.	did not adhere to the team's formation.	The coach criticized the player because	train
The coach criticized the player because he explicitly told everyone not to break the team's formation.	he	['The coach' 'the player']	0	The coach explicitly told everyone not to break the team's formation.	explicitly told everyone not to break the team's formation.	The coach criticized the player because	train
The academic clubs lost their members because they were poorly funded.	they	['The academic clubs' 'their members']	0	The academic clubs were poorly funded.	were poorly funded.	The academic clubs lost their members because	train
The academic clubs lost their members because they did not have free time.	they	['The academic clubs' 'their members']	1	their members did not have free time.	did not have free time.	The academic clubs lost their members because	train
James asked Robert for a favor, but he refused.	he	['James' 'Robert']	1	Robert refused.	refused.	James asked Robert for a favor, but	train
James asked Robert for a favor, but he was refused.	he	['James' 'Robert']	0	James was refused.	was refused.	James asked Robert for a favor, but	train
The teacher did not recommend William because he was not a good student.	he	['The teacher' 'William']	1	William was not a good student.	was not a good student.	The teacher did not recommend William because	train
The teacher did not recommend William because he had high standards.	he	['The teacher' 'William']	0	The teacher had high standards.	had high standards.	The teacher did not recommend William because	train
The doctor told Susan that she had cancer.	she	['The doctor' 'Susan']	1	Susan had cancer.	had cancer.	The doctor told Susan that	train
The doctor told Susan that she had been busy.	she	['The doctor' 'Susan']	0	The doctor had been busy.	had been busy.	The doctor told Susan that	train
The professor grading the student's paper said that he was stupid.	he	['The professor' 'the student']	1	the student was stupid.	was stupid.	The professor grading the student's paper said that	train
The professor grading the student's paper said that he loved it.	he	['The professor' 'the student']	0	The professor loved it.	loved it.	The professor grading the student's paper said that	train
Jeremy annoyed Justin so he can leave the room.	he	['Jeremy' 'Justin']	1	Justin can leave the room.	can leave the room.	Jeremy annoyed Justin so	train
Jeremy annoyed Justin so he can have the room.	he	['Jeremy' 'Justin']	0	Jeremy can have the room.	can have the room.	Jeremy annoyed Justin so	train
Paula liked Ness more than Pokey because he was nice to her.	he	['Ness' 'Pokey']	0	Ness was nice to her.	was nice to her.	Paula liked Ness more than Pokey because	train
Paula liked Ness more than Pokey because he was mean to her.	he	['Ness' 'Pokey']	1	Pokey was mean to her.	was mean to her.	Paula liked Ness more than Pokey because	train
Rocky lost to Clubber Lang because he was not ready for the fight.	he	['Rocky' 'Clubber Lang']	0	Rocky was not ready for the fight.	was not ready for the fight.	Rocky lost to Clubber Lang because	train
Rocky lost to Clubber Lang because he was ready for the fight.	he	['Rocky' 'Clubber Lang']	1	Clubber Lang was ready for the fight.	was ready for the fight.	Rocky lost to Clubber Lang because	train
Aaron kissed Dan because he wanted to.	he	['Aaron' 'Dan']	0	Aaron wanted to.	wanted to.	Aaron kissed Dan because	train
Aaron kissed Dan because he wanted him to.	he	['Aaron' 'Dan']	1	Dan wanted him to.	wanted him to.	Aaron kissed Dan because	train
The students fell asleep during the professor's lectures because they were boring.	they	['The students' "the professor's lectures"]	1	the professors lectures were boring.	were boring.	The students fell asleep during the professor's lectures because	train
The students fell asleep during the professor's lectures because they were bored.	they	['The students' "the professor's lectures"]	0	The students were bored.	were bored.	The students fell asleep during the professor's lectures because	train
Derrick begged his boss for a raise but he did not get one.	he	['Derrick' 'his boss']	0	Derrick did not get one.	did not get one.	Derrick begged his boss for a raise but	train
Derrick begged his boss for a raise but he did not give one.	he	['Derrick' 'his boss']	1	his boss did not give one.	did not give one.	Derrick begged his boss for a raise but	train
The jurors deliberated on the defendants' fate for hours, but they did not reach a verdict.	they	['The jurors' 'the defendants']	0	The jurors did not reach a verdict.	did not reach a verdict.	The jurors deliberated on the defendants' fate for hours, but	train
The jurors deliberated on the defendants' fate for hours, but they didn't receive the death penalty.	they	['The jurors' 'the defendants']	1	the defendants didn't receive the death penalty.	didn't receive the death penalty.	The jurors deliberated on the defendants' fate for hours, but	train
The orchestra was booed by the audience because they had performed poorly.	they	['The orchestra' 'the audience']	0	The orchestra had performed poorly.	had performed poorly.	The orchestra was booed by the audience because	train
The orchestra was booed by the audience because they had expected a rock band.	they	['The orchestra' 'the audience']	1	the audience had expected a rock band.	had expected a rock band.	The orchestra was booed by the audience because	train
Jacob gave William money because he needed some.	he	['Jacob' 'William']	1	William needed some.	needed some.	Jacob gave William money because	train
Jacob gave William money because he sold the car.	he	['Jacob' 'William']	0	Jacob sold the car.	sold the car.	Jacob gave William money because	train
Alexandra told Kelly not to get a tattoo because she raised her conservatively.	she	['Alexandra' 'Kelly']	0	Alexandra raised her conservatively.	raised her conservatively.	Alexandra told Kelly not to get a tattoo because	train
Alexandra told Kelly not to get a tattoo because she would seem unprofessional.	she	['Alexandra' 'Kelly']	1	Kelly would seem unprofessional.	would seem unprofessional.	Alexandra told Kelly not to get a tattoo because	train
Olivia tried to counsel Emily, but she was not interested.	she	['Olivia' 'Emily']	1	Emily was not interested.	was not interested.	Olivia tried to counsel Emily, but	train
Olivia tried to counsel Emily, but she was rejected.	she	['Olivia' 'Emily']	0	Olivia was rejected.	was rejected.	Olivia tried to counsel Emily, but	train
James went to Sully's arcade and he asked for tickets.	he	['James' 'Sully']	0	James asked for tickets.	asked for tickets.	James went to Sully's arcade and	train
James went to Sully's arcade but he refused to let him in.	he	['James' 'Sully']	1	Sully refused to let him in.	refused to let him in.	James went to Sully's arcade but	train
Kurt flew in Alex's plane, and he thanked him.	he	['Kurt' 'Alex']	0	Kurt thanked him.	thanked him.	Kurt flew in Alex's plane, and	train
Kurt flew in Alex's plane, and he asked him to come again.	he	['Kurt' 'Alex']	1	Alex asked him to come again.	asked him to come again.	Kurt flew in Alex's plane, and	train
Bill was robbed by John, so the officer arrested him.	him	['Bill' 'John']	1	John .	.	Bill was robbed by John, so the officer arrested	train
Bill was robbed by John, so the officer helped him.	him	['Bill' 'John']	0	Bill .	.	Bill was robbed by John, so the officer helped	train
He put snow on the smiley face because it was wet.	it	['snow' 'the smiley face']	0	snow was wet.	was wet.	He put snow on the smiley face because	train
He put snow on the smiley face because it was dry.	it	['snow' 'the smiley face']	1	the smiley face was dry.	was dry.	He put snow on the smiley face because	train
The kitten played with the yarn because it was fun.	it	['The kitten' 'the yarn']	1	the yarn was fun.	was fun.	The kitten played with the yarn because	train
The kitten played with the yarn because it was bored.	it	['The kitten' 'the yarn']	0	The kitten was bored.	was bored.	The kitten played with the yarn because	train
I chopped down the tree with my axe because it was tall.	it	['the tree' 'my axe']	0	the tree was tall.	was tall.	I chopped down the tree with my axe because	train
I chopped down the tree with my axe because it was sharp.	it	['the tree' 'my axe']	1	my axe was sharp.	was sharp.	I chopped down the tree with my axe because	train
Spiderman defeated Magnito because he is a good guy.	he	['Spiderman' 'Magnito']	0	Spiderman is a good guy.	is a good guy.	Spiderman defeated Magnito because	train
Spiderman defeated Magnito because he is a bad guy.	he	['Spiderman' 'Magnito']	1	Magnito is a bad guy.	is a bad guy.	Spiderman defeated Magnito because	train
The citizens rebelled against the government because they were being repressed.	they	['The citizens' 'the government']	0	The citizens were being repressed.	were being repressed.	The citizens rebelled against the government because	train
The citizens rebelled against the government because they were being mean.	they	['The citizens' 'the government']	1	the government were being mean.	were being mean.	The citizens rebelled against the government because	train
Cats are smarter than dogs because they always land on their feet.	they	['Cats' 'dogs']	0	Cats always land on their feet.	always land on their feet.	Cats are smarter than dogs because	train
Cats are smarter than dogs because they bark for no reason.	they	['Cats' 'dogs']	1	dogs bark for no reason.	bark for no reason.	Cats are smarter than dogs because	train
The ball hit the window and Bill repaired it.	it	['The ball' 'the window']	1	the window .	.	The ball hit the window and Bill repaired	train
The ball hit the window and Bill caught it.	it	['The ball' 'the window']	0	The ball .	.	The ball hit the window and Bill caught	train
Robert fired Chris because he couldn't do the job.	he	['Robert' 'Chris']	1	Chris couldn't do the job.	couldn't do the job.	Robert fired Chris because	train
Robert fired Chris because he no longer needed workers.	he	['Robert' 'Chris']	0	Robert no longer needed workers.	no longer needed workers.	Robert fired Chris because	train
Steve scratched Johnny because he was angry.	he	['Steve' 'Johnny']	0	Steve was angry.	was angry.	Steve scratched Johnny because	train
Steve scratched Johnny so he became angry.	he	['Steve' 'Johnny']	1	Johnny became angry.	became angry.	Steve scratched Johnny so	train
The youth outran the old man because he was in shape.	he	['The youth' 'the old man']	0	The youth was in shape.	was in shape.	The youth outran the old man because	train
The youth outran the old man because he broke his hip.	he	['The youth' 'the old man']	1	the old man broke his hip.	broke his hip.	The youth outran the old man because	train
Video games are outselling movies because they are fun to play.	they	['Video games' 'movies']	0	Video games are fun to play.	are fun to play.	Video games are outselling movies because	train
Video games are outselling movies because they are an old medium.	they	['Video games' 'movies']	1	movies are an old medium.	are an old medium.	Video games are outselling movies because	train
Google bought Motorola because they want its customer base.	they	['Google' 'Motorola']	0	Google want its customer base.	want its customer base.	Google bought Motorola because	train
Google bought Motorola because they were bankrupt.	they	['Google' 'Motorola']	1	Motorola were bankrupt.	were bankrupt.	Google bought Motorola because	train
Sam cheated Sally but she did not cry.	she	['Sally' 'Sam']	0	Sally did not cry.	did not cry.	Sam cheated Sally but	train
Sam cheated Sally but she did not repent.	she	['Sally' 'Sam']	1	Sam did not repent.	did not repent.	Sam cheated Sally but	train
Keith fired Blaine but he did not regret.	he	['Keith' 'Blaine']	0	Keith did not regret.	did not regret.	Keith fired Blaine but	train
Keith fired Blaine even though he is diligent.	he	['Keith' 'Blaine']	1	Blaine is diligent.	is diligent.	Keith fired Blaine even though	train
