left,pron,right,candidates,selected,input_prompt,predicted,correct_sent,correct,number of shots
The city councilmen refused the demonstrators a permit because,they,feared violence.,"The city councilmen,The demonstrators",0,"How does the sentence end?

The bee landed on the flower because 

OPTIONS: 
-  The bee had pollen. 
-  the flower had pollen.
Output: the flower had pollen.
=======================================
How does the sentence end?

The bee landed on the flower because 

OPTIONS: 
-  The bee wanted pollen. 
-  the flower wanted pollen.
Output: The bee wanted pollen.
=======================================
How does the sentence end?

The city councilmen refused the demonstrators a permit because

 OPTIONS: 
- The city councilmen feared violence.
 - The demonstrators feared violence.
Output: ",the demonstrators feared violence,the city councilmen feared violence,False,2
The city councilmen refused the demonstrators a permit because,they,advocated violence.,"The city councilmen,The demonstrators",1,"How does the sentence end?

The bee landed on the flower because 

OPTIONS: 
-  The bee had pollen. 
-  the flower had pollen.
Output: the flower had pollen.
=======================================
How does the sentence end?

The bee landed on the flower because 

OPTIONS: 
-  The bee wanted pollen. 
-  the flower wanted pollen.
Output: The bee wanted pollen.
=======================================
How does the sentence end?

The city councilmen refused the demonstrators a permit because

 OPTIONS: 
- The city councilmen advocated violence.
 - The demonstrators advocated violence.
Output: ",the demonstrators advocated violence,the demonstrators advocated violence,True,2
The trophy doesn't fit into the brown suitcase because,it,is too large.,"the trophy,the suitcase",0,"How does the sentence end?

The bee landed on the flower because 

OPTIONS: 
-  The bee had pollen. 
-  the flower had pollen.
Output: the flower had pollen.
=======================================
How does the sentence end?

The bee landed on the flower because 

OPTIONS: 
-  The bee wanted pollen. 
-  the flower wanted pollen.
Output: The bee wanted pollen.
=======================================
How does the sentence end?

The trophy doesn't fit into the brown suitcase because

 OPTIONS: 
- the trophy is too large.
 - the suitcase is too large.
Output: ",the trophy is too large,the trophy is too large,True,2
The trophy doesn't fit into the brown suitcase because,it,is too small.,"the trophy,the suitcase",1,"How does the sentence end?

The bee landed on the flower because 

OPTIONS: 
-  The bee had pollen. 
-  the flower had pollen.
Output: the flower had pollen.
=======================================
How does the sentence end?

The bee landed on the flower because 

OPTIONS: 
-  The bee wanted pollen. 
-  the flower wanted pollen.
Output: The bee wanted pollen.
=======================================
How does the sentence end?

The trophy doesn't fit into the brown suitcase because

 OPTIONS: 
- the trophy is too small.
 - the suitcase is too small.
Output: ",the trophy is too small,the suitcase is too small,False,2
Joan made sure to thank Susan for all the help,she,had recieved.,"Joan,Susan",0,"How does the sentence end?

The bee landed on the flower because 

OPTIONS: 
-  The bee had pollen. 
-  the flower had pollen.
Output: the flower had pollen.
=======================================
How does the sentence end?

The bee landed on the flower because 

OPTIONS: 
-  The bee wanted pollen. 
-  the flower wanted pollen.
Output: The bee wanted pollen.
=======================================
How does the sentence end?

Joan made sure to thank Susan for all the help

 OPTIONS: 
- Joan had recieved.
 - Susan had recieved.
Output: ",joan had recieved,joan had recieved,True,2
Joan made sure to thank Susan for all the help,she,had given.,"Joan,Susan",1,"How does the sentence end?

The bee landed on the flower because 

OPTIONS: 
-  The bee had pollen. 
-  the flower had pollen.
Output: the flower had pollen.
=======================================
How does the sentence end?

The bee landed on the flower because 

OPTIONS: 
-  The bee wanted pollen. 
-  the flower wanted pollen.
Output: The bee wanted pollen.
=======================================
How does the sentence end?

Joan made sure to thank Susan for all the help

 OPTIONS: 
- Joan had given.
 - Susan had given.
Output: ",joan had given,susan had given,False,2
"Paul tried to call George on the phone, but",he,wasn't successful.,"Paul,George",0,"How does the sentence end?

The bee landed on the flower because 

OPTIONS: 
-  The bee had pollen. 
-  the flower had pollen.
Output: the flower had pollen.
=======================================
How does the sentence end?

The bee landed on the flower because 

OPTIONS: 
-  The bee wanted pollen. 
-  the flower wanted pollen.
Output: The bee wanted pollen.
=======================================
How does the sentence end?

Paul tried to call George on the phone, but

 OPTIONS: 
- Paul wasn't successful.
 - George wasn't successful.
Output: ",paul wasnt successful,paul wasnt successful,True,2
"Paul tried to call George on the phone, but",he,wasn't available.,"Paul,George",1,"How does the sentence end?

The bee landed on the flower because 

OPTIONS: 
-  The bee had pollen. 
-  the flower had pollen.
Output: the flower had pollen.
=======================================
How does the sentence end?

The bee landed on the flower because 

OPTIONS: 
-  The bee wanted pollen. 
-  the flower wanted pollen.
Output: The bee wanted pollen.
=======================================
How does the sentence end?

Paul tried to call George on the phone, but

 OPTIONS: 
- Paul wasn't available.
 - George wasn't available.
Output: ",paul wasnt available,george wasnt available,False,2
"The lawyer asked the witness a question, but",he,was reluctant to repeat it.,"the lawyer,the witness",0,"How does the sentence end?

The bee landed on the flower because 

OPTIONS: 
-  The bee had pollen. 
-  the flower had pollen.
Output: the flower had pollen.
=======================================
How does the sentence end?

The bee landed on the flower because 

OPTIONS: 
-  The bee wanted pollen. 
-  the flower wanted pollen.
Output: The bee wanted pollen.
=======================================
How does the sentence end?

The lawyer asked the witness a question, but

 OPTIONS: 
- the lawyer was reluctant to repeat it.
 - the witness was reluctant to repeat it.
Output: ",the lawyer was reluctant to repeat it,the lawyer was reluctant to repeat it,True,2
"The lawyer asked the witness a question, but",he,was reluctant to answer it.,"the lawyer,the witness",1,"How does the sentence end?

The bee landed on the flower because 

OPTIONS: 
-  The bee had pollen. 
-  the flower had pollen.
Output: the flower had pollen.
=======================================
How does the sentence end?

The bee landed on the flower because 

OPTIONS: 
-  The bee wanted pollen. 
-  the flower wanted pollen.
Output: The bee wanted pollen.
=======================================
How does the sentence end?

The lawyer asked the witness a question, but

 OPTIONS: 
- the lawyer was reluctant to answer it.
 - the witness was reluctant to answer it.
Output: ",the lawyer was reluctant to answer it,the witness was reluctant to answer it,False,2
