left,pron,right,candidates,selected,input_prompt,predicted,correct_sent,correct,number of shots
The city councilmen refused the demonstrators a permit because,they,feared violence.,"The city councilmen,The demonstrators",0,"How does the sentence end?

The man stole the neighbor's bike because

OPTIONS: 
- The man
- the neighbor
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the neighbor had one extra.

How does the sentence end?

Excalibur spent time with the stone because

OPTIONS: 
- Excalibur
- the stone
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the stone was very smooth and sturdy.

How does the sentence end?

The man gave the beggar some money because

OPTIONS: 
- The man
- the beggar
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the beggar was too persistent.

How does the sentence end?

John remembered Bill because

OPTIONS: 
- John
- Bill
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Bill was memorable.

How does the sentence end?

Lions love gazelles because

OPTIONS: 
- Lions
- gazelles
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Lions eat them.

How does the sentence end ?

The city councilmen refused the demonstrators a permit because

OPTIONS: 
- The city councilmen feared violence.
- The demonstrators feared violence.
Thought: Use similar thought as before.
Output: ",the city councilmen feared violence,the city councilmen feared violence,True,5
The city councilmen refused the demonstrators a permit because,they,advocated violence.,"The city councilmen,The demonstrators",1,"How does the sentence end?

The cap fell off the bottle because

OPTIONS: 
- The cap
- the bottle
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: The cap was untwisted.

How does the sentence end?

Planet Express was bought out by Mom's Friendly Delivery Service so

OPTIONS: 
- Planet Express
- Moms Friendly Delivery Service
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Planet Express can no longer be a threat.

How does the sentence end?

The mysterious creature is drinking whiskey because

OPTIONS: 
- The mysterious creature
- whiskey
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: whiskey tastes good.

How does the sentence end?

The glass told the toaster that

OPTIONS: 
- The glass
- the toaster
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the toaster was fat.

How does the sentence end?

Emma did not pass the ball to Janie, although

OPTIONS: 
- Emma
- Janie
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Emma should have.

How does the sentence end ?

The city councilmen refused the demonstrators a permit because

OPTIONS: 
- The city councilmen advocated violence.
- The demonstrators advocated violence.
Thought: Use similar thought as before.
Output: ",the demonstrators advocated violence,the demonstrators advocated violence,True,5
The trophy doesn't fit into the brown suitcase because,it,is too large.,"the trophy,the suitcase",0,"How does the sentence end?

Olivia tried to counsel Emily, but

OPTIONS: 
- Olivia
- Emily
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Olivia was rejected.

How does the sentence end?

James went to Sully's arcade but

OPTIONS: 
- James
- Sully
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Sully refused to let him in.

How does the sentence end?

Mike helped Jack with his assignment because

OPTIONS: 
- Mike
- Jack
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Mike felt like doing so.

How does the sentence end?

Tom likes John because

OPTIONS: 
- Tom
- John
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: John has a cool name.

How does the sentence end?

The musicians performed at two venues because neither of

OPTIONS: 
- The musicians
- two venues
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: two venues paid much.

How does the sentence end ?

The trophy doesn't fit into the brown suitcase because

OPTIONS: 
- the trophy is too large.
- the suitcase is too large.
Thought: Use similar thought as before.
Output: ",the trophy is too large,the trophy is too large,True,5
The trophy doesn't fit into the brown suitcase because,it,is too small.,"the trophy,the suitcase",1,"How does the sentence end?

Clinton wanted Obama to run for president because

OPTIONS: 
- Clinton
- Obama
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Obama would win.

How does the sentence end?

T-Mobile's data plan is better than AT&T's data plan since

OPTIONS: 
- TMobile
- ATT
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: ATT throttles user for excessive data usage.

How does the sentence end?

The Cowboys formed a trailer defense against the Indians since

OPTIONS: 
- The Cowboys
- the Indians
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: The Cowboys have a better chance of surviving.

How does the sentence end?

Raccoons constantly play dead when people come near since

OPTIONS: 
- Raccoons
- people
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Raccoons hope 

How does the sentence end?

Clark Kent hides his identity from Lex Luthor since

OPTIONS: 
- Clark Kent
- Lex Luthor
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Clark Kent wishes to keep his loved ones safe.

How does the sentence end ?

The trophy doesn't fit into the brown suitcase because

OPTIONS: 
- the trophy is too small.
- the suitcase is too small.
Thought: Use similar thought as before.
Output: ",the suitcase is too small,the suitcase is too small,True,5
Joan made sure to thank Susan for all the help,she,had recieved.,"Joan,Susan",0,"How does the sentence end?

The students fell asleep during the professor's lectures because

OPTIONS: 
- The students
- the professors lectures
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the professors lectures were boring.

How does the sentence end?

David hit Bill and

OPTIONS: 
- David
- Bill
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Bill cried.

How does the sentence end?

The Secretary and the President met about

OPTIONS: 
- The Secretary
- the President
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the President being elected.

How does the sentence end?

John hit Carl and

OPTIONS: 
- John
- Carl
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: John hit back.

How does the sentence end?

Tom likes John because

OPTIONS: 
- Tom
- John
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: John has a cool name.

How does the sentence end ?

Joan made sure to thank Susan for all the help

OPTIONS: 
- Joan had recieved.
- Susan had recieved.
Thought: Use similar thought as before.
Output: ",joan had recieved,joan had recieved,True,5
Joan made sure to thank Susan for all the help,she,had given.,"Joan,Susan",1,"How does the sentence end?

Mary cleaned Susan's room and

OPTIONS: 
- Mary
- Susan
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Mary asked a favor.

How does the sentence end?

The computer rejected the password because

OPTIONS: 
- The computer
- the password
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the password was incorrect.

How does the sentence end?

Rocky beat Drago because the crowd was not supporting

OPTIONS: 
- Rocky
- Drago
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Drago .

How does the sentence end?

The children played games because

OPTIONS: 
- The children
- games
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: games were entertaining.

How does the sentence end?

The Centurion lent Doctor Who his ear since

OPTIONS: 
- The Centurion
- Doctor Who
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: The Centurion had pledged his loyalty.

How does the sentence end ?

Joan made sure to thank Susan for all the help

OPTIONS: 
- Joan had given.
- Susan had given.
Thought: Use similar thought as before.
Output: ",susan had given,susan had given,True,5
"Paul tried to call George on the phone, but",he,wasn't successful.,"Paul,George",0,"How does the sentence end?

Jimbo was running from Bobbert because

OPTIONS: 
- Jimbo
- Bobbert
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Jimbo wanted to get to the car first.

How does the sentence end?

The ball hit the window and Bill caught

OPTIONS: 
- The ball
- the window
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: The ball .

How does the sentence end?

Jimbo eats more than Bobbert because

OPTIONS: 
- Jimbo
- Bobbert
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Jimbo is not on a diet.

How does the sentence end?

The company declared bonus for the employees because

OPTIONS: 
- The company
- the employees
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: The company made huge profits.

How does the sentence end?

Allen laughed at Jimmy because

OPTIONS: 
- Allen
- Jimmy
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Allen was making fun of him.

How does the sentence end ?

Paul tried to call George on the phone, but

OPTIONS: 
- Paul wasn't successful.
- George wasn't successful.
Thought: Use similar thought as before.
Output: ",paul wasnt successful,paul wasnt successful,True,5
"Paul tried to call George on the phone, but",he,wasn't available.,"Paul,George",1,"How does the sentence end?

Derrick begged his boss for a raise but

OPTIONS: 
- Derrick
- his boss
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Derrick did not get one.

How does the sentence end?

The construction workers hollered at the girls when

OPTIONS: 
- The construction workers
- the girls
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: The construction workers saw them.

How does the sentence end?

The man gave the beggar some money because

OPTIONS: 
- The man
- the beggar
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: the beggar was too persistent.

How does the sentence end?

Michael asked Jacob to dance because

OPTIONS: 
- Michael
- Jacob
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Michael felt sorry for him.

How does the sentence end?

Anna tucked Olivia into bed because

OPTIONS: 
- Anna
- Olivia
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Olivia fell asleep on the couch.

How does the sentence end ?

Paul tried to call George on the phone, but

OPTIONS: 
- Paul wasn't available.
- George wasn't available.
Thought: Use similar thought as before.
Output: ",george wasnt available,george wasnt available,True,5
"The lawyer asked the witness a question, but",he,was reluctant to repeat it.,"the lawyer,the witness",0,"How does the sentence end?

Students hate exams because

OPTIONS: 
- Students
- exams
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Students are lazy.

How does the sentence end?

James always gives orders to Owen because

OPTIONS: 
- James
- Owen
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Owen is very obedient.

How does the sentence end?

Cheesecake is better than fruitcake because

OPTIONS: 
- Cheesecake
- fruitcake
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: fruitcake is gross.

How does the sentence end?

Apple sued Samsung because

OPTIONS: 
- Apple
- Samsung
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Samsung made a product that has similarities with their own.

How does the sentence end?

Ashton Kutcher replaced Charlie Sheen as the main character of Two and a Half Men, but

OPTIONS: 
- Ashton Kutcher
- Charlie Sheen
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Ashton Kutcher does not play the same character the previous actor played.

How does the sentence end ?

The lawyer asked the witness a question, but

OPTIONS: 
- the lawyer was reluctant to repeat it.
- the witness was reluctant to repeat it.
Thought: Use similar thought as before.
Output: ",the witness was reluctant to repeat it,the lawyer was reluctant to repeat it,False,5
"The lawyer asked the witness a question, but",he,was reluctant to answer it.,"the lawyer,the witness",1,"How does the sentence end?

Bill was robbed by John, so the officer helped

OPTIONS: 
- Bill
- John
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Bill .

How does the sentence end?

Mr. Sanders gave James a promotion because

OPTIONS: 
- Mr Sanders
- James
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: James has done good work.

How does the sentence end?

The coach told the captain that

OPTIONS: 
- The coach
- the captain
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: The coach was proud of him.

How does the sentence end?

Todd told Bill that

OPTIONS: 
- Todd
- Bill
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Todd needed some money.

How does the sentence end?

Tobias is upset with William because

OPTIONS: 
- Tobias
- William
Thought : Based on the given two options, we selected one of the two option that best fits the pronoun in the above sentence.Output: Tobias would not pay.

How does the sentence end ?

The lawyer asked the witness a question, but

OPTIONS: 
- the lawyer was reluctant to answer it.
- the witness was reluctant to answer it.
Thought: Use similar thought as before.
Output: ",the witness was reluctant to answer it,the witness was reluctant to answer it,True,5
