left,pron,right,candidates,selected,input_prompt,predicted,correct_sent,correct,number of shots
The city councilmen refused the demonstrators a permit because,they,feared violence.,"The city councilmen,The demonstrators",0,"How does the sentence end?

Boyfriends always try to go out of their way to treat their girlfriends with respect, but

OPTIONS: 
- Boyfriends
- their girlfriends
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, respect is associated with 'Boyfriends' and treat is associated with 'girlfriends'. So, the answer is from the two opions is - Boyfriends want to be treated with respect as well.
Output: Boyfriends want to be treated with respect as well.

How does the sentence end?

The collections agency often goes after delinquent accounts since

OPTIONS: 
- The collections agency
- delinquent accounts
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, goes after is associated with 'delinquent accounts' and try and get money is associated with 'collections agency'. So, the answer is from the two opions is - delinquent accounts try and get the money owed if a person did not pay for several months.
Output: delinquent accounts try and get the money owed if a person did not pay for several months.

How does the sentence end?

Gun instructors provide the best tips and practices to keep their students safe from firearm usage, but

OPTIONS: 
- Gun instructors
- their students
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, keep their students safe is associated with 'Gun instructors' and make sure is associated with 'their students'. So, the answer is from the two opions is - their students need to make sure 
Output: their students need to make sure 

How does the sentence end ?

The city councilmen refused the demonstrators a permit because

OPTIONS: 
- The city councilmen feared violence.
- The demonstrators feared violence.
Thought: Use similar thought as before.
Output: ",the city councilmen feared violence,the city councilmen feared violence,True,3
The city councilmen refused the demonstrators a permit because,they,advocated violence.,"The city councilmen,The demonstrators",1,"How does the sentence end?

Boyfriends always try to go out of their way to treat their girlfriends with respect, but

OPTIONS: 
- Boyfriends
- their girlfriends
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, respect is associated with 'Boyfriends' and treat is associated with 'girlfriends'. So, the answer is from the two opions is - Boyfriends want to be treated with respect as well.
Output: Boyfriends want to be treated with respect as well.

How does the sentence end?

The collections agency often goes after delinquent accounts since

OPTIONS: 
- The collections agency
- delinquent accounts
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, goes after is associated with 'delinquent accounts' and try and get money is associated with 'collections agency'. So, the answer is from the two opions is - delinquent accounts try and get the money owed if a person did not pay for several months.
Output: delinquent accounts try and get the money owed if a person did not pay for several months.

How does the sentence end?

Gun instructors provide the best tips and practices to keep their students safe from firearm usage, but

OPTIONS: 
- Gun instructors
- their students
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, keep their students safe is associated with 'Gun instructors' and make sure is associated with 'their students'. So, the answer is from the two opions is - their students need to make sure 
Output: their students need to make sure 

How does the sentence end ?

The city councilmen refused the demonstrators a permit because

OPTIONS: 
- The city councilmen advocated violence.
- The demonstrators advocated violence.
Thought: Use similar thought as before.
Output: ",the demonstrators advocated violence,the demonstrators advocated violence,True,3
The trophy doesn't fit into the brown suitcase because,it,is too large.,"the trophy,the suitcase",0,"How does the sentence end?

Boyfriends always try to go out of their way to treat their girlfriends with respect, but

OPTIONS: 
- Boyfriends
- their girlfriends
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, respect is associated with 'Boyfriends' and treat is associated with 'girlfriends'. So, the answer is from the two opions is - Boyfriends want to be treated with respect as well.
Output: Boyfriends want to be treated with respect as well.

How does the sentence end?

The collections agency often goes after delinquent accounts since

OPTIONS: 
- The collections agency
- delinquent accounts
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, goes after is associated with 'delinquent accounts' and try and get money is associated with 'collections agency'. So, the answer is from the two opions is - delinquent accounts try and get the money owed if a person did not pay for several months.
Output: delinquent accounts try and get the money owed if a person did not pay for several months.

How does the sentence end?

Gun instructors provide the best tips and practices to keep their students safe from firearm usage, but

OPTIONS: 
- Gun instructors
- their students
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, keep their students safe is associated with 'Gun instructors' and make sure is associated with 'their students'. So, the answer is from the two opions is - their students need to make sure 
Output: their students need to make sure 

How does the sentence end ?

The trophy doesn't fit into the brown suitcase because

OPTIONS: 
- the trophy is too large.
- the suitcase is too large.
Thought: Use similar thought as before.
Output: ",the trophy is too large,the trophy is too large,True,3
The trophy doesn't fit into the brown suitcase because,it,is too small.,"the trophy,the suitcase",1,"How does the sentence end?

Boyfriends always try to go out of their way to treat their girlfriends with respect, but

OPTIONS: 
- Boyfriends
- their girlfriends
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, respect is associated with 'Boyfriends' and treat is associated with 'girlfriends'. So, the answer is from the two opions is - Boyfriends want to be treated with respect as well.
Output: Boyfriends want to be treated with respect as well.

How does the sentence end?

The collections agency often goes after delinquent accounts since

OPTIONS: 
- The collections agency
- delinquent accounts
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, goes after is associated with 'delinquent accounts' and try and get money is associated with 'collections agency'. So, the answer is from the two opions is - delinquent accounts try and get the money owed if a person did not pay for several months.
Output: delinquent accounts try and get the money owed if a person did not pay for several months.

How does the sentence end?

Gun instructors provide the best tips and practices to keep their students safe from firearm usage, but

OPTIONS: 
- Gun instructors
- their students
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, keep their students safe is associated with 'Gun instructors' and make sure is associated with 'their students'. So, the answer is from the two opions is - their students need to make sure 
Output: their students need to make sure 

How does the sentence end ?

The trophy doesn't fit into the brown suitcase because

OPTIONS: 
- the trophy is too small.
- the suitcase is too small.
Thought: Use similar thought as before.
Output: ",the trophy is too small,the suitcase is too small,False,3
Joan made sure to thank Susan for all the help,she,had recieved.,"Joan,Susan",0,"How does the sentence end?

Boyfriends always try to go out of their way to treat their girlfriends with respect, but

OPTIONS: 
- Boyfriends
- their girlfriends
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, respect is associated with 'Boyfriends' and treat is associated with 'girlfriends'. So, the answer is from the two opions is - Boyfriends want to be treated with respect as well.
Output: Boyfriends want to be treated with respect as well.

How does the sentence end?

The collections agency often goes after delinquent accounts since

OPTIONS: 
- The collections agency
- delinquent accounts
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, goes after is associated with 'delinquent accounts' and try and get money is associated with 'collections agency'. So, the answer is from the two opions is - delinquent accounts try and get the money owed if a person did not pay for several months.
Output: delinquent accounts try and get the money owed if a person did not pay for several months.

How does the sentence end?

Gun instructors provide the best tips and practices to keep their students safe from firearm usage, but

OPTIONS: 
- Gun instructors
- their students
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, keep their students safe is associated with 'Gun instructors' and make sure is associated with 'their students'. So, the answer is from the two opions is - their students need to make sure 
Output: their students need to make sure 

How does the sentence end ?

Joan made sure to thank Susan for all the help

OPTIONS: 
- Joan had recieved.
- Susan had recieved.
Thought: Use similar thought as before.
Output: ",joan had recieved,joan had recieved,True,3
Joan made sure to thank Susan for all the help,she,had given.,"Joan,Susan",1,"How does the sentence end?

Boyfriends always try to go out of their way to treat their girlfriends with respect, but

OPTIONS: 
- Boyfriends
- their girlfriends
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, respect is associated with 'Boyfriends' and treat is associated with 'girlfriends'. So, the answer is from the two opions is - Boyfriends want to be treated with respect as well.
Output: Boyfriends want to be treated with respect as well.

How does the sentence end?

The collections agency often goes after delinquent accounts since

OPTIONS: 
- The collections agency
- delinquent accounts
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, goes after is associated with 'delinquent accounts' and try and get money is associated with 'collections agency'. So, the answer is from the two opions is - delinquent accounts try and get the money owed if a person did not pay for several months.
Output: delinquent accounts try and get the money owed if a person did not pay for several months.

How does the sentence end?

Gun instructors provide the best tips and practices to keep their students safe from firearm usage, but

OPTIONS: 
- Gun instructors
- their students
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, keep their students safe is associated with 'Gun instructors' and make sure is associated with 'their students'. So, the answer is from the two opions is - their students need to make sure 
Output: their students need to make sure 

How does the sentence end ?

Joan made sure to thank Susan for all the help

OPTIONS: 
- Joan had given.
- Susan had given.
Thought: Use similar thought as before.
Output: ",susan had given,susan had given,True,3
"Paul tried to call George on the phone, but",he,wasn't successful.,"Paul,George",0,"How does the sentence end?

Boyfriends always try to go out of their way to treat their girlfriends with respect, but

OPTIONS: 
- Boyfriends
- their girlfriends
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, respect is associated with 'Boyfriends' and treat is associated with 'girlfriends'. So, the answer is from the two opions is - Boyfriends want to be treated with respect as well.
Output: Boyfriends want to be treated with respect as well.

How does the sentence end?

The collections agency often goes after delinquent accounts since

OPTIONS: 
- The collections agency
- delinquent accounts
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, goes after is associated with 'delinquent accounts' and try and get money is associated with 'collections agency'. So, the answer is from the two opions is - delinquent accounts try and get the money owed if a person did not pay for several months.
Output: delinquent accounts try and get the money owed if a person did not pay for several months.

How does the sentence end?

Gun instructors provide the best tips and practices to keep their students safe from firearm usage, but

OPTIONS: 
- Gun instructors
- their students
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, keep their students safe is associated with 'Gun instructors' and make sure is associated with 'their students'. So, the answer is from the two opions is - their students need to make sure 
Output: their students need to make sure 

How does the sentence end ?

Paul tried to call George on the phone, but

OPTIONS: 
- Paul wasn't successful.
- George wasn't successful.
Thought: Use similar thought as before.
Output: ",paul wasnt successful,paul wasnt successful,True,3
"Paul tried to call George on the phone, but",he,wasn't available.,"Paul,George",1,"How does the sentence end?

Boyfriends always try to go out of their way to treat their girlfriends with respect, but

OPTIONS: 
- Boyfriends
- their girlfriends
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, respect is associated with 'Boyfriends' and treat is associated with 'girlfriends'. So, the answer is from the two opions is - Boyfriends want to be treated with respect as well.
Output: Boyfriends want to be treated with respect as well.

How does the sentence end?

The collections agency often goes after delinquent accounts since

OPTIONS: 
- The collections agency
- delinquent accounts
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, goes after is associated with 'delinquent accounts' and try and get money is associated with 'collections agency'. So, the answer is from the two opions is - delinquent accounts try and get the money owed if a person did not pay for several months.
Output: delinquent accounts try and get the money owed if a person did not pay for several months.

How does the sentence end?

Gun instructors provide the best tips and practices to keep their students safe from firearm usage, but

OPTIONS: 
- Gun instructors
- their students
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, keep their students safe is associated with 'Gun instructors' and make sure is associated with 'their students'. So, the answer is from the two opions is - their students need to make sure 
Output: their students need to make sure 

How does the sentence end ?

Paul tried to call George on the phone, but

OPTIONS: 
- Paul wasn't available.
- George wasn't available.
Thought: Use similar thought as before.
Output: ",george wasnt available,george wasnt available,True,3
"The lawyer asked the witness a question, but",he,was reluctant to repeat it.,"the lawyer,the witness",0,"How does the sentence end?

Boyfriends always try to go out of their way to treat their girlfriends with respect, but

OPTIONS: 
- Boyfriends
- their girlfriends
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, respect is associated with 'Boyfriends' and treat is associated with 'girlfriends'. So, the answer is from the two opions is - Boyfriends want to be treated with respect as well.
Output: Boyfriends want to be treated with respect as well.

How does the sentence end?

The collections agency often goes after delinquent accounts since

OPTIONS: 
- The collections agency
- delinquent accounts
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, goes after is associated with 'delinquent accounts' and try and get money is associated with 'collections agency'. So, the answer is from the two opions is - delinquent accounts try and get the money owed if a person did not pay for several months.
Output: delinquent accounts try and get the money owed if a person did not pay for several months.

How does the sentence end?

Gun instructors provide the best tips and practices to keep their students safe from firearm usage, but

OPTIONS: 
- Gun instructors
- their students
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, keep their students safe is associated with 'Gun instructors' and make sure is associated with 'their students'. So, the answer is from the two opions is - their students need to make sure 
Output: their students need to make sure 

How does the sentence end ?

The lawyer asked the witness a question, but

OPTIONS: 
- the lawyer was reluctant to repeat it.
- the witness was reluctant to repeat it.
Thought: Use similar thought as before.
Output: ",the witness was reluctant to repeat it,the lawyer was reluctant to repeat it,False,3
"The lawyer asked the witness a question, but",he,was reluctant to answer it.,"the lawyer,the witness",1,"How does the sentence end?

Boyfriends always try to go out of their way to treat their girlfriends with respect, but

OPTIONS: 
- Boyfriends
- their girlfriends
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, respect is associated with 'Boyfriends' and treat is associated with 'girlfriends'. So, the answer is from the two opions is - Boyfriends want to be treated with respect as well.
Output: Boyfriends want to be treated with respect as well.

How does the sentence end?

The collections agency often goes after delinquent accounts since

OPTIONS: 
- The collections agency
- delinquent accounts
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, goes after is associated with 'delinquent accounts' and try and get money is associated with 'collections agency'. So, the answer is from the two opions is - delinquent accounts try and get the money owed if a person did not pay for several months.
Output: delinquent accounts try and get the money owed if a person did not pay for several months.

How does the sentence end?

Gun instructors provide the best tips and practices to keep their students safe from firearm usage, but

OPTIONS: 
- Gun instructors
- their students
Thought: The sentence contains an ambiguous pronoun 'they'. However, as per the context, keep their students safe is associated with 'Gun instructors' and make sure is associated with 'their students'. So, the answer is from the two opions is - their students need to make sure 
Output: their students need to make sure 

How does the sentence end ?

The lawyer asked the witness a question, but

OPTIONS: 
- the lawyer was reluctant to answer it.
- the witness was reluctant to answer it.
Thought: Use similar thought as before.
Output: ",the witness was reluctant to answer it,the witness was reluctant to answer it,True,3
