left,pron,right,candidates,selected,input_prompt,predicted,correct_sent,correct,number of shots
The city councilmen refused the demonstrators a permit because,they,feared violence.,"The city councilmen,The demonstrators",0,"How does the sentence end?

The man stole the neighbor's bike because

OPTIONS: 
- The man
- the neighbor
Output: the neighbor had one extra.

How does the sentence end?

Excalibur spent time with the stone because

OPTIONS: 
- Excalibur
- the stone
Output: the stone was very smooth and sturdy.

How does the sentence end?

The man gave the beggar some money because

OPTIONS: 
- The man
- the beggar
Output: the beggar was too persistent.

How does the sentence end?

John remembered Bill because

OPTIONS: 
- John
- Bill
Output: Bill was memorable.

How does the sentence end ?

The city councilmen refused the demonstrators a permit because

OPTIONS: 
- The city councilmen feared violence.
- The demonstrators feared violence.
Thought: Use similar thought as before.
Output: ",the demonstrators feared violence,the city councilmen feared violence,False,4
The city councilmen refused the demonstrators a permit because,they,advocated violence.,"The city councilmen,The demonstrators",1,"How does the sentence end?

The cap fell off the bottle because

OPTIONS: 
- The cap
- the bottle
Output: The cap was untwisted.

How does the sentence end?

Planet Express was bought out by Mom's Friendly Delivery Service so

OPTIONS: 
- Planet Express
- Moms Friendly Delivery Service
Output: Planet Express can no longer be a threat.

How does the sentence end?

The mysterious creature is drinking whiskey because

OPTIONS: 
- The mysterious creature
- whiskey
Output: whiskey tastes good.

How does the sentence end?

The glass told the toaster that

OPTIONS: 
- The glass
- the toaster
Output: the toaster was fat.

How does the sentence end ?

The city councilmen refused the demonstrators a permit because

OPTIONS: 
- The city councilmen advocated violence.
- The demonstrators advocated violence.
Thought: Use similar thought as before.
Output: ",the demonstrators advocated violence,the demonstrators advocated violence,True,4
The trophy doesn't fit into the brown suitcase because,it,is too large.,"the trophy,the suitcase",0,"How does the sentence end?

Olivia tried to counsel Emily, but

OPTIONS: 
- Olivia
- Emily
Output: Olivia was rejected.

How does the sentence end?

James went to Sully's arcade but

OPTIONS: 
- James
- Sully
Output: Sully refused to let him in.

How does the sentence end?

Mike helped Jack with his assignment because

OPTIONS: 
- Mike
- Jack
Output: Mike felt like doing so.

How does the sentence end?

Tom likes John because

OPTIONS: 
- Tom
- John
Output: John has a cool name.

How does the sentence end ?

The trophy doesn't fit into the brown suitcase because

OPTIONS: 
- the trophy is too large.
- the suitcase is too large.
Thought: Use similar thought as before.
Output: ",the trophy is too large,the trophy is too large,True,4
The trophy doesn't fit into the brown suitcase because,it,is too small.,"the trophy,the suitcase",1,"How does the sentence end?

Clinton wanted Obama to run for president because

OPTIONS: 
- Clinton
- Obama
Output: Obama would win.

How does the sentence end?

T-Mobile's data plan is better than AT&T's data plan since

OPTIONS: 
- TMobile
- ATT
Output: ATT throttles user for excessive data usage.

How does the sentence end?

The Cowboys formed a trailer defense against the Indians since

OPTIONS: 
- The Cowboys
- the Indians
Output: The Cowboys have a better chance of surviving.

How does the sentence end?

Raccoons constantly play dead when people come near since

OPTIONS: 
- Raccoons
- people
Output: Raccoons hope 

How does the sentence end ?

The trophy doesn't fit into the brown suitcase because

OPTIONS: 
- the trophy is too small.
- the suitcase is too small.
Thought: Use similar thought as before.
Output: ",the suitcase is too small thought use similar thought as before,the suitcase is too small,False,4
Joan made sure to thank Susan for all the help,she,had recieved.,"Joan,Susan",0,"How does the sentence end?

The students fell asleep during the professor's lectures because

OPTIONS: 
- The students
- the professors lectures
Output: the professors lectures were boring.

How does the sentence end?

David hit Bill and

OPTIONS: 
- David
- Bill
Output: Bill cried.

How does the sentence end?

The Secretary and the President met about

OPTIONS: 
- The Secretary
- the President
Output: the President being elected.

How does the sentence end?

John hit Carl and

OPTIONS: 
- John
- Carl
Output: John hit back.

How does the sentence end ?

Joan made sure to thank Susan for all the help

OPTIONS: 
- Joan had recieved.
- Susan had recieved.
Thought: Use similar thought as before.
Output: ",joan had recieved,joan had recieved,True,4
Joan made sure to thank Susan for all the help,she,had given.,"Joan,Susan",1,"How does the sentence end?

Mary cleaned Susan's room and

OPTIONS: 
- Mary
- Susan
Output: Mary asked a favor.

How does the sentence end?

The computer rejected the password because

OPTIONS: 
- The computer
- the password
Output: the password was incorrect.

How does the sentence end?

Rocky beat Drago because the crowd was not supporting

OPTIONS: 
- Rocky
- Drago
Output: Drago .

How does the sentence end?

The children played games because

OPTIONS: 
- The children
- games
Output: games were entertaining.

How does the sentence end ?

Joan made sure to thank Susan for all the help

OPTIONS: 
- Joan had given.
- Susan had given.
Thought: Use similar thought as before.
Output: ",joan had given,susan had given,False,4
"Paul tried to call George on the phone, but",he,wasn't successful.,"Paul,George",0,"How does the sentence end?

Jimbo was running from Bobbert because

OPTIONS: 
- Jimbo
- Bobbert
Output: Jimbo wanted to get to the car first.

How does the sentence end?

The ball hit the window and Bill caught

OPTIONS: 
- The ball
- the window
Output: The ball .

How does the sentence end?

Jimbo eats more than Bobbert because

OPTIONS: 
- Jimbo
- Bobbert
Output: Jimbo is not on a diet.

How does the sentence end?

The company declared bonus for the employees because

OPTIONS: 
- The company
- the employees
Output: The company made huge profits.

How does the sentence end ?

Paul tried to call George on the phone, but

OPTIONS: 
- Paul wasn't successful.
- George wasn't successful.
Thought: Use similar thought as before.
Output: ",paul wasnt successful,paul wasnt successful,True,4
"Paul tried to call George on the phone, but",he,wasn't available.,"Paul,George",1,"How does the sentence end?

Derrick begged his boss for a raise but

OPTIONS: 
- Derrick
- his boss
Output: Derrick did not get one.

How does the sentence end?

The construction workers hollered at the girls when

OPTIONS: 
- The construction workers
- the girls
Output: The construction workers saw them.

How does the sentence end?

The man gave the beggar some money because

OPTIONS: 
- The man
- the beggar
Output: the beggar was too persistent.

How does the sentence end?

Michael asked Jacob to dance because

OPTIONS: 
- Michael
- Jacob
Output: Michael felt sorry for him.

How does the sentence end ?

Paul tried to call George on the phone, but

OPTIONS: 
- Paul wasn't available.
- George wasn't available.
Thought: Use similar thought as before.
Output: ",george wasnt available,george wasnt available,True,4
"The lawyer asked the witness a question, but",he,was reluctant to repeat it.,"the lawyer,the witness",0,"How does the sentence end?

Students hate exams because

OPTIONS: 
- Students
- exams
Output: Students are lazy.

How does the sentence end?

James always gives orders to Owen because

OPTIONS: 
- James
- Owen
Output: Owen is very obedient.

How does the sentence end?

Cheesecake is better than fruitcake because

OPTIONS: 
- Cheesecake
- fruitcake
Output: fruitcake is gross.

How does the sentence end?

Apple sued Samsung because

OPTIONS: 
- Apple
- Samsung
Output: Samsung made a product that has similarities with their own.

How does the sentence end ?

The lawyer asked the witness a question, but

OPTIONS: 
- the lawyer was reluctant to repeat it.
- the witness was reluctant to repeat it.
Thought: Use similar thought as before.
Output: ",the witness was reluctant to repeat it thought use similar thought as before,the lawyer was reluctant to repeat it,False,4
"The lawyer asked the witness a question, but",he,was reluctant to answer it.,"the lawyer,the witness",1,"How does the sentence end?

Bill was robbed by John, so the officer helped

OPTIONS: 
- Bill
- John
Output: Bill .

How does the sentence end?

Mr. Sanders gave James a promotion because

OPTIONS: 
- Mr Sanders
- James
Output: James has done good work.

How does the sentence end?

The coach told the captain that

OPTIONS: 
- The coach
- the captain
Output: The coach was proud of him.

How does the sentence end?

Todd told Bill that

OPTIONS: 
- Todd
- Bill
Output: Todd needed some money.

How does the sentence end ?

The lawyer asked the witness a question, but

OPTIONS: 
- the lawyer was reluctant to answer it.
- the witness was reluctant to answer it.
Thought: Use similar thought as before.
Output: ",the witness was reluctant to answer it,the witness was reluctant to answer it,True,4
